scene,Scene parse time (ms),Scene load time (ms),Pipeline create time (ms),Shader compile time (ms)
CUDA,6.879693750000001,846.3093437499998,157.63501875,9365.0740875
DirectX,6.735825,800.36834375,317.70028125,1372.2685843749998
ISPC,5.947371874999998,833.9467499999998,461.95355625,171751.79264687496
