render,scene,backend,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,51.7s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,74.8s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,41.6s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,50.4s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,70.9s
LuisaRender,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,101.1s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,53.6s
LuisaRender,classroom,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,62.2s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,59.9s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,117.6s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,30.8s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,48.7s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,81.9s
LuisaRender,classroom,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,151.8s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,40.6s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,61.3s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,36.2s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,49.5s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,33.3s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,42.4s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,49.7s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,64.9s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,45.4s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,57.8s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,36.6s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,74.7s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,20.2s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,30.8s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,50.2s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,95.1s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,26.1s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,38.4s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.7s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,12,Spectral,5.3s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,RGB,3.1s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,12,Spectral,3.1s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,RGB,4.1s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,Spectral,5.9s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,RGB,3.4s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,16,Spectral,3.2s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,RGB,5.1s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,9.2s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,RGB,5.1s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,12,Spectral,4.7s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,RGB,5.8s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,10.4s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,RGB,5.8s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,16,Spectral,4.9s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,18.9s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,25.6s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,10.8s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,6.4s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,21.8s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,29.2s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,11.8s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,6.5s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,18.6s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,36.9s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,11.2s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,10.6s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,21.0s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,40.1s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,12.6s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,10.6s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,52.3s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,Error
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,40.5s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,40.2s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,67.8s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,88.6s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,53.6s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,51.6s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,48.8s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,89.2s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,27.3s
