render,scene,backend,integrator,sampler,resolution,spp,max depth,rr depth,spectrum,time consumption
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,12.0s
LuisaRender,classroom,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,25.1s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,9.6s
LuisaRender,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,13.8s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,8.2s
LuisaRender,dining-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,11.8s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,10.0s
LuisaRender,dining-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,25.5s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,5.7s
LuisaRender,dining-room,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,16.1s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,RGB,2.5s
LuisaRender,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,4.0s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,8,2,RGB,2.2s
LuisaRender,coffee,directX,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,2.9s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,8,2,RGB,3.1s
LuisaRender,coffee,cuda,MegaPath,Independent,"(800, 1000)",1024,8,2,Spectral,7.3s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,8,2,RGB,2.8s
LuisaRender,coffee,directX,MegaPath,Independent,"(800, 1000)",1024,8,2,Spectral,4.9s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,12.1s
LuisaRender,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,17.3s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,7.3s
LuisaRender,glass-of-water,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,6.2s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,11.0s
LuisaRender,glass-of-water,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,27.6s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,6.6s
LuisaRender,glass-of-water,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,12.9s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,13.2s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,19.1s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,10.4s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,13.3s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,12.8s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,30.0s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,7.5s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,16.3s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,7.4s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,11.7s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,6.2s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,9.3s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,9.1s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,27.5s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,7.4s
LuisaRender,spaceship,directX,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,18.5s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,RGB,6.5s
LuisaRender,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,8.7s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,8,2,RGB,5.8s
LuisaRender,staircase,directX,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,7.7s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,8,2,RGB,7.7s
LuisaRender,staircase,cuda,MegaPath,Independent,"(720, 1280)",1024,8,2,Spectral,14.6s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,8,2,RGB,5.2s
LuisaRender,staircase,directX,MegaPath,Independent,"(720, 1280)",1024,8,2,Spectral,8.8s
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,RGB,3.18m
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,3.7189m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,5.2948m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,5.7015m
Mitsuba2,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,58.201m
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,9.3324m
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,9.8577m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,5,RGB,10.371m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,5,Spectral,15.662m
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,RGB,1.634m
Mitsuba2,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,1.8563m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,2.7404m
Mitsuba2,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,2.841m
Mitsuba2,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,26.809m
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,4.1985m
Mitsuba2,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,4.5482m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,RGB,4.4848m
Mitsuba2,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,5.449m
PBRT-v4,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,138.0s
PBRT-v4,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,121.8s
PBRT-v4,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,34.1s
PBRT-v4,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,80.9s
PBRT-v4,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,129.0s
PBRT-v4,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,95.2s
PBRT-v4,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,16,5,Spectral,63.6s
PBRT-v4,classroom,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,91.8s
PBRT-v4,dining-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,68.7s
PBRT-v4,coffee,cuda,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,27.4s
PBRT-v4,glass-of-water,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,61.1s
PBRT-v4,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,79.7s
PBRT-v4,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,71.7s
PBRT-v4,staircase,cuda,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,42.4s
LuisaRender,classroom,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,129.7s
LuisaRender,classroom,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,133.8s
LuisaRender,classroom,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,226.1s
LuisaRender,classroom,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,232.3s
LuisaRender,classroom,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,246.5s
LuisaRender,classroom,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,299.7s
LuisaRender,classroom,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,379.6s
LuisaRender,classroom,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,452.3s
LuisaRender,dining-room,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,84.0s
LuisaRender,dining-room,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,91.2s
LuisaRender,dining-room,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,172.9s
LuisaRender,dining-room,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,Error
LuisaRender,dining-room,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,124.8s
LuisaRender,dining-room,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,146.5s
LuisaRender,dining-room,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,253.4s
LuisaRender,dining-room,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,299.4s
LuisaRender,coffee,metal,WavePath,Independent,"(800, 1000)",1024,8,2,RGB,18.3s
LuisaRender,coffee,metal,WavePath,Independent,"(800, 1000)",1024,8,2,Spectral,19.4s
LuisaRender,coffee,metal,WavePath,Independent,"(800, 1000)",1024,16,5,RGB,23.3s
LuisaRender,coffee,metal,WavePath,Independent,"(800, 1000)",1024,16,5,Spectral,24.5s
LuisaRender,coffee,metal,MegaPath,Independent,"(800, 1000)",1024,8,2,RGB,28.7s
LuisaRender,coffee,metal,MegaPath,Independent,"(800, 1000)",1024,8,2,Spectral,32.4s
LuisaRender,coffee,metal,MegaPath,Independent,"(800, 1000)",1024,16,5,RGB,38.9s
LuisaRender,coffee,metal,MegaPath,Independent,"(800, 1000)",1024,16,5,Spectral,43.7s
LuisaRender,glass-of-water,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,56.4s
LuisaRender,glass-of-water,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,59.9s
LuisaRender,glass-of-water,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,79.2s
LuisaRender,glass-of-water,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,83.3s
LuisaRender,glass-of-water,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,78.9s
LuisaRender,glass-of-water,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,92.2s
LuisaRender,glass-of-water,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,120.5s
LuisaRender,glass-of-water,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,140.5s
LuisaRender,living-room,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,85.4s
LuisaRender,living-room,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,Error
LuisaRender,living-room,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,177.6s
LuisaRender,living-room,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,181.8s
LuisaRender,living-room,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,138.0s
LuisaRender,living-room,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,153.2s
LuisaRender,living-room,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,275.7s
LuisaRender,living-room,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,306.7s
LuisaRender,spaceship,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,RGB,59.3s
LuisaRender,spaceship,metal,WavePath,Independent,"(1920, 1080)",1024,8,2,Spectral,66.6s
LuisaRender,spaceship,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,RGB,79.3s
LuisaRender,spaceship,metal,WavePath,Independent,"(1920, 1080)",1024,16,5,Spectral,88.6s
LuisaRender,spaceship,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,RGB,82.7s
LuisaRender,spaceship,metal,MegaPath,Independent,"(1920, 1080)",1024,8,2,Spectral,96.2s
LuisaRender,spaceship,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,RGB,125.3s
LuisaRender,spaceship,metal,MegaPath,Independent,"(1920, 1080)",1024,16,5,Spectral,145.3s
LuisaRender,staircase,metal,WavePath,Independent,"(720, 1280)",1024,8,2,RGB,54.6s
LuisaRender,staircase,metal,WavePath,Independent,"(720, 1280)",1024,8,2,Spectral,58.2s
LuisaRender,staircase,metal,WavePath,Independent,"(720, 1280)",1024,16,5,RGB,109.7s
LuisaRender,staircase,metal,WavePath,Independent,"(720, 1280)",1024,16,5,Spectral,116.8s
LuisaRender,staircase,metal,MegaPath,Independent,"(720, 1280)",1024,8,2,RGB,112.9s
LuisaRender,staircase,metal,MegaPath,Independent,"(720, 1280)",1024,8,2,Spectral,118.1s
LuisaRender,staircase,metal,MegaPath,Independent,"(720, 1280)",1024,16,5,RGB,218.9s
LuisaRender,staircase,metal,MegaPath,Independent,"(720, 1280)",1024,16,5,Spectral,208.6s
