render,scene,backend,integrator,sampler,resolution,spp,max depth,spectrum,time consumption
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,50.8s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,73.8s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,39.1s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,52.7s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,65.8s
LuisaRender,living-room,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,94.6s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,52.3s
LuisaRender,living-room,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,69.4s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,50.9s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,109.1s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,26.8s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,45.0s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,69.3s
LuisaRender,living-room,cuda,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,143.9s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,RGB,35.5s
LuisaRender,living-room,directX,MegaPath,Independent,"(1920, 1080)",1024,16,Spectral,58.1s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,12,RGB,13.0s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,19.4s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,12,RGB,11.5s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,12,Spectral,17.2s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,RGB,15.0s
LuisaRender,spaceship,cuda,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,22.4s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,16,RGB,13.0s
LuisaRender,spaceship,directX,WavePath,Independent,"(1920, 1080)",1024,16,Spectral,19.4s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,RGB,23.3s
LuisaRender,spaceship,cuda,MegaPath,Independent,"(1920, 1080)",1024,12,Spectral,59.5s
