scene,backend,integrator,spectrum,Scene parse time (ms),Scene load time (ms),Pipeline create time (ms),Shader compile time (ms)
coffee,cpu,MegaPath,Spectral,5.3086,236.693,78.3095,91524.1
glass-of-water,cpu,WavePath,RGB,5.0991,851.998,53.2983,192432.4594
glass-of-water,cpu,WavePath,Spectral,5.1649,874.695,90.6247,268855.0804
glass-of-water,cpu,MegaPath,RGB,4.86,882.581,106.525,112304.69
glass-of-water,cpu,MegaPath,Spectral,5.5528,881.322,83.5571,173311.36
spaceship,cpu,WavePath,RGB,4.9183,671.671,356.409,195857.0571
spaceship,cpu,WavePath,Spectral,5.5497,568.872,350.754,267623.0021
spaceship,cpu,MegaPath,RGB,5.9686,560.31,447.444,98092.16
spaceship,cpu,MegaPath,Spectral,5.4148,607.859,430.865,160254.19
staircase,cpu,WavePath,RGB,8.7001,1372.51,1361.47,239533.2513
staircase,cpu,WavePath,Spectral,8.4009,1972.27,1164.8,310715.7573
staircase,cpu,MegaPath,RGB,8.4734,1391.8,1249.55,143165.85
staircase,cpu,MegaPath,Spectral,8.5398,1878.2,1147.96,215667.8
