time, time_forward, time_backward, loss
5087.192275285721, 2191.4426770210266, 2895.749598264694, 0.017964186
5218.663503170013, 2232.9358870983124, 2985.727616071701, 0.0091338
5493.447494029999, 2351.126960039139, 3142.32053399086, 0.008594942
5441.03307390213, 2331.5117087364197, 3109.5213651657104, 0.006974471
5308.0768349170685, 2274.2098109722137, 3033.8670239448547, 0.005688829
5250.208868980408, 2249.336641073227, 3000.872227907181, 0.006139654
5263.793353796005, 2255.632328748703, 3008.1610250473022, 0.005727351
5327.030680894852, 2283.3465988636017, 3043.68408203125, 0.0056247045
5386.0706470012665, 2308.1678309440613, 3077.902816057205, 0.005351578
5435.540874958038, 2327.8029260635376, 3107.7379488945007, 0.005011292
5411.727397918701, 2318.877048969269, 3092.8503489494324, 0.004525104
5339.450659990311, 2286.713479042053, 3052.7371809482574, 0.004057647
5302.3744921684265, 2261.928291082382, 3040.4462010860443, 0.0038075866
5249.648931026459, 2247.4609072208405, 3002.1880238056183, 0.0037344848
5258.006945133209, 2251.2470169067383, 3006.759928226471, 0.0036357401
5277.956717014313, 2258.2853128910065, 3019.6714041233063, 0.0037229431
5333.624403953552, 2290.25745511055, 3043.3669488430023, 0.0037026245
5354.021485090256, 2292.363473176956, 3061.6580119132996, 0.0037580829
5360.70925116539, 2291.836718082428, 3068.872533082962, 0.0035184303
5324.333706855774, 2278.8754608631134, 3045.4582459926605, 0.0034642646
5287.692323923111, 2263.7316348552704, 3023.9606890678406, 0.003304484
5271.707232952118, 2256.4023518562317, 3015.3048810958862, 0.0032118305
5271.603888750076, 2257.06849694252, 3014.535391807556, 0.0032900665
5281.512511014938, 2260.2172911167145, 3021.295219898224, 0.003055676
5300.617028951645, 2268.0413761138916, 3032.5756528377533, 0.0033748324
5318.2465760707855, 2276.6194388866425, 3041.627137184143, 0.0033988412
5325.545121908188, 2279.6271500587463, 3045.9179718494415, 0.0034928983
5309.795227050781, 2273.26348900795, 3036.5317380428314, 0.0033862756
5297.546178102493, 2263.4641301631927, 3034.0820479393005, 0.0032750505
5281.264354944229, 2260.2530109882355, 3021.0113439559937, 0.0031680518
5284.513546943665, 2261.4643461704254, 3023.049200773239, 0.0030510707
5294.1682741642, 2266.0098712444305, 3028.1584029197693, 0.0032097308
5305.7993042469025, 2271.614547252655, 3034.1847569942474, 0.0031877093
5315.706099033356, 2275.3199729919434, 3040.3861260414124, 0.003243651
5312.291323900223, 2273.011312007904, 3039.2800118923187, 0.003126777
5302.92204785347, 2270.1050980091095, 3032.8169498443604, 0.003174274
5288.255827903748, 2263.442042827606, 3024.8137850761414, 0.003295482
5278.924705028534, 2259.4868302345276, 3019.4378747940063, 0.0033513117
5284.712830781937, 2261.9773378372192, 3022.7354929447174, 0.0032114228
5297.337899923325, 2267.469596862793, 3029.8683030605316, 0.00287517
5312.190524101257, 2273.083241224289, 3039.1072828769684, 0.0031612816
5317.211436033249, 2275.7841901779175, 3041.4272458553314, 0.0029935215
5309.251989841461, 2272.5218229293823, 3036.730166912079, 0.0034157452
5292.52507686615, 2265.8390300273895, 3026.6860468387604, 0.0029884172
5290.022751092911, 2263.4724490642548, 3026.550302028656, 0.003177815
5293.206484079361, 2265.666673898697, 3027.539810180664, 0.003456827
5301.975874185562, 2269.655426979065, 3032.320447206497, 0.0032871705
5308.106800794601, 2271.2311029434204, 3036.875697851181, 0.003293942
5307.125815868378, 2271.943473815918, 3035.1823420524597, 0.0029499177
5297.938328027725, 2268.034182071686, 3029.9041459560394, 0.0030287143
5289.337757110596, 2264.755275249481, 3024.5824818611145, 0.0029653006
5289.620687961578, 2264.3778009414673, 3025.242887020111, 0.0032423825
5298.675672054291, 2268.2960720062256, 3030.379600048065, 0.0032963275
5306.357991933823, 2272.082330942154, 3034.2756609916687, 0.0030368082
5309.032208204269, 2272.1908462047577, 3036.8413619995117, 0.0032202832
5301.901126861572, 2269.061408996582, 3032.8397178649902, 0.003472956
5296.798180818558, 2267.552324771881, 3029.2458560466766, 0.0032214639
5295.024107217789, 2265.738472223282, 3029.285634994507, 0.0031960655
5300.278065919876, 2268.753900051117, 3031.524165868759, 0.003227834
5305.220752000809, 2271.836230993271, 3033.384521007538, 0.003112275
5304.558341026306, 2270.470788002014, 3034.087553024292, 0.0029614957
