time, time_forward, time_backward, loss
1319.6839137077332, 580.59938788414, 739.0845258235931, 0.02195732
1324.8012208938599, 563.5503368377686, 761.2508840560913, 0.0119766295
1393.292175769806, 593.2450931072235, 800.0470826625824, 0.012385327
1379.2188289165497, 587.7711219787598, 791.4477069377899, 0.010556756
1346.6901941299438, 573.802992105484, 772.8872020244598, 0.009295069
1331.8382799625397, 567.7387208938599, 764.0995590686798, 0.009732755
1334.7975792884827, 568.9733972549438, 765.8241820335388, 0.0090886615
1349.2937407493591, 574.8895690441132, 774.404171705246, 0.009554457
1371.2046539783478, 581.7159252166748, 789.488728761673, 0.008900626
1375.2649178504944, 586.2791509628296, 788.9857668876648, 0.009836417
1379.1846568584442, 584.0159728527069, 795.1686840057373, 0.007043332
1354.0063540935516, 576.6724410057068, 777.3339130878448, 0.007226728
1339.6332230567932, 570.5727558135986, 769.0604672431946, 0.0062565273
1336.3508160114288, 567.1667830944061, 769.1840329170227, 0.0076276204
1333.5127992630005, 568.0700192451477, 765.4427800178528, 0.008693182
1338.4452910423279, 569.7276470661163, 768.7176439762115, 0.0077958796
1349.6690199375153, 573.9770476818085, 775.6919722557068, 0.007894879
1357.5128650665283, 578.4281630516052, 779.0847020149231, 0.0068211695
1359.1878271102905, 579.1200149059296, 780.067812204361, 0.008454743
1351.6766929626465, 575.7091691493988, 775.9675238132477, 0.0070280894
1343.0726130008698, 572.1879861354828, 770.884626865387, 0.007038717
1337.2467198371887, 569.5386838912964, 767.7080359458923, 0.0064817527
1336.4201068878174, 568.6958067417145, 767.7243001461029, 0.0067692883
1339.1438999176025, 570.465754032135, 768.6781458854675, 0.008176038
1342.1963567733765, 571.862673997879, 770.3336827754974, 0.006855916
1347.844456911087, 573.6779959201813, 774.1664609909058, 0.0082425745
1351.3649079799652, 575.3474698066711, 776.0174381732941, 0.0059063723
1349.4263939857483, 574.7349531650543, 774.691440820694, 0.0072794524
1344.3960092067719, 572.8955500125885, 771.5004591941833, 0.00755803
1342.0657210350037, 571.7186090946198, 770.3471119403839, 0.007265528
1340.4977178573608, 570.455650806427, 770.0420670509338, 0.0068459385
1341.6221477985382, 571.7399549484253, 769.8821928501129, 0.00683735
1345.141769170761, 572.6058962345123, 772.5358729362488, 0.007951953
1347.828997850418, 573.7205519676208, 774.1084458827972, 0.0063101165
1348.2645649909973, 573.8325388431549, 774.4320261478424, 0.00807669
1346.2450551986694, 573.3444452285767, 772.9006099700928, 0.0059614005
1346.1264979839325, 572.2992939949036, 773.8272039890289, 0.006758038
1340.3968739509583, 570.8530650138855, 769.5438089370728, 0.0069879056
1339.6273140907288, 570.7478737831116, 768.8794403076172, 0.0071116947
1341.7898030281067, 570.5803787708282, 771.2094242572784, 0.006984491
1346.038283109665, 573.248868227005, 772.7894148826599, 0.006401461
1348.831531047821, 574.3380351066589, 774.4934959411621, 0.0074130315
1349.24884390831, 574.9999530315399, 774.24889087677, 0.0057953466
1345.5301978588104, 572.841066122055, 772.6891317367554, 0.0076543973
1342.9308528900146, 571.9722518920898, 770.9586009979248, 0.0059550684
1342.491268157959, 571.5873770713806, 770.9038910865784, 0.006525332
1342.7000608444214, 571.8170659542084, 770.882994890213, 0.00702706
1345.3449220657349, 573.1068539619446, 772.2380681037903, 0.006431284
1346.2652966976166, 573.4400777816772, 772.8252189159393, 0.0075886655
1347.0360441207886, 573.8484449386597, 773.1875991821289, 0.006799083
1344.0678408145905, 572.0222089290619, 772.0456318855286, 0.007545436
1342.5890979766846, 571.9978549480438, 770.5912430286407, 0.006218804
1341.9976208209991, 571.8152890205383, 770.1823318004608, 0.0074065346
1343.5827209949493, 572.1853530406952, 771.3973679542542, 0.0063213543
1345.366504907608, 573.0519459247589, 772.3145589828491, 0.006956013
1347.3799948692322, 573.8491787910461, 773.530816078186, 0.0073836055
1345.5122890472412, 572.993494272232, 772.5187947750092, 0.0063948664
1343.0029051303864, 572.420636177063, 770.5822689533234, 0.007212065
1343.5907218456268, 572.366694688797, 771.2240271568298, 0.0063848463
1342.6787917613983, 571.649246931076, 771.0295448303223, 0.008145528
1344.2796819210052, 572.6728298664093, 771.606852054596, 0.0060663507
1344.2167708873749, 572.6799058914185, 771.5368649959564, 0.006981397
1344.220547914505, 572.1826369762421, 772.0379109382629, 0.0059556914
1343.8048717975616, 572.7763328552246, 771.028538942337, 0.0069801672
1343.5846502780914, 571.9996960163116, 771.5849542617798, 0.008090851
1357.1836349964142, 572.7636008262634, 784.4200341701508, 0.0071129627
1345.0919260978699, 572.6121969223022, 772.4797291755676, 0.0074059526
1344.368045091629, 572.8749279975891, 771.4931170940399, 0.0063942797
1346.1241600513458, 573.0811769962311, 773.0429830551147, 0.0076156557
1343.0601208209991, 571.9672288894653, 771.0928919315338, 0.0063880663
1344.855408191681, 572.3620991706848, 772.4933090209961, 0.006750893
1343.193363904953, 572.1229979991913, 771.0703659057617, 0.0062070726
1345.595270872116, 572.9564447402954, 772.6388261318207, 0.006876114
1356.7907190322876, 585.1830499172211, 771.6076691150665, 0.008062568
1344.019170999527, 572.6474421024323, 771.3717288970947, 0.006858998
1343.7542321681976, 572.6609449386597, 771.093287229538, 0.00781848
1344.8151001930237, 572.655415058136, 772.1596851348877, 0.0060119038
1345.2028241157532, 572.9658901691437, 772.2369339466095, 0.007144339
1352.0330030918121, 572.8595221042633, 779.1734809875488, 0.006722384
1343.9637701511383, 572.5393271446228, 771.4244430065155, 0.0075934185
1343.7474086284637, 572.1451857089996, 771.6022229194641, 0.006320024
